label,rmse,mae,r2,r2_naive,n_features
[aqi_instant] 24h  1.current-features,45.23893764305976,30.111804516126966,0.23793296036030886,-0.09734843288482353,42
[aqi_instant] 24h  2.extended-features,43.60058965911445,29.870685542441148,0.2907983343002667,-0.10767799620750584,112
[aqi_instant] 24h  3.extended+future-weather,40.9732223414324,27.187460153452527,0.37369588915610286,-0.10767799620750584,123
[aqi_instant] 24h  4.#3 predicting delta,41.50093403912176,27.103148552662635,0.35745911968819744,-0.10767799620750584,123
[aqi_instant] 48h  1.current-features,50.13654738960066,34.83875094895996,0.06394003275433136,-0.3401127933291812,42
[aqi_instant] 48h  2.extended-features,47.917895875692274,32.69137487019509,0.14375621376156322,-0.3520214928941072,112
[aqi_instant] 48h  3.extended+future-weather,46.166342654939065,30.839383638981246,0.20520908315432562,-0.3520214928941072,123
[aqi_instant] 48h  4.#3 predicting delta,44.36177397145204,29.75089176016309,0.2661289373864214,-0.3520214928941072,123
[aqi_instant] 72h  1.current-features,50.4538256935063,34.89476564128278,0.051923976411998085,-0.3512313707957242,42
[aqi_instant] 72h  2.extended-features,49.326291488865884,33.33091761457702,0.09264747769841597,-0.36045382124583036,112
[aqi_instant] 72h  3.extended+future-weather,46.14326927626292,31.066949399709998,0.20597195239685429,-0.36045382124583036,123
[aqi_instant] 72h  4.#3 predicting delta,45.18732302006054,30.10367487382802,0.23853078850662668,-0.36045382124583036,123
[aqi_epa] 24h  1.current-features,26.972499468279416,19.416148106382522,0.5466187198958213,0.28204021985291927,42
[aqi_epa] 24h  2.extended-features,26.138322908664623,19.23242191644079,0.5717702780604689,0.2719708024984657,112
[aqi_epa] 24h  3.extended+future-weather,23.280351846513735,16.70230626909451,0.6602961659176342,0.2719708024984657,123
[aqi_epa] 24h  4.#3 predicting delta,25.519439823266456,17.832413559820534,0.591808794978201,0.2719708024984657,123
[aqi_epa] 48h  1.current-features,38.043928361617574,28.73767026224057,0.09741766254913242,0.017810995700288434,42
[aqi_epa] 48h  2.extended-features,37.217659534568575,28.272273131641153,0.13144099710888024,0.006678546319055179,112
[aqi_epa] 48h  3.extended+future-weather,32.94689841898422,24.258704675811444,0.3193399164121312,0.006678546319055179,123
[aqi_epa] 48h  4.#3 predicting delta,30.74359930572981,22.618853814442268,0.407333156864471,0.006678546319055179,123
[aqi_epa] 72h  1.current-features,36.75834831652746,28.63625025503082,0.15649074328690304,-0.019691220463743386,42
[aqi_epa] 72h  2.extended-features,35.58008022337969,26.424950466410532,0.2060451157098906,-0.027401275166159644,112
[aqi_epa] 72h  3.extended+future-weather,33.028692950033076,24.583873082366022,0.315828854569275,-0.027401275166159644,123
[aqi_epa] 72h  4.#3 predicting delta,31.700022762975873,23.37874921623568,0.36976701856718575,-0.027401275166159644,123
