rmse,mae,r2,r2_naive,r2_folds,label,n,features
26.737895717121816,17.799591258801495,0.576014867914585,0.3336296412269342,"[0.299, 0.776, 0.653]",24h  T1 point-in-time  level,17184,123
28.44931269111885,18.09401714702034,0.5051181241608034,0.3336296412269342,"[0.093, 0.803, 0.619]",24h  T1 point-in-time  delta,17184,123
17.35518602310407,10.893232731504128,0.7595428335391367,0.5770748519012726,"[0.554, 0.916, 0.809]",24h  T2 24h-window mean  level,17184,123
16.506659833221974,10.581041341840507,0.7721010632805547,0.5770748519012726,"[0.532, 0.939, 0.845]",24h  T2 24h-window mean  delta,17184,123
27.366788224357524,17.580394360045343,0.6090744239567516,0.05931202976260427,"[0.434, 0.776, 0.617]",24h  T3 24h-window max  level,17184,123
27.97170891164338,19.233573056825026,0.5893706643068753,0.05931202976260427,"[0.392, 0.793, 0.584]",24h  T3 24h-window max  delta,17184,123
34.93288948016905,25.07476291479628,0.2853398591487239,-0.005748685330310033,"[-0.072, 0.574, 0.353]",48h  T1 point-in-time  level,17160,123
33.67889987151428,23.212497282793084,0.32225636289392484,-0.005748685330310033,"[-0.138, 0.674, 0.431]",48h  T1 point-in-time  delta,17160,123
30.64954640280827,21.533121698468136,0.29630519254929544,-0.09527590068305629,"[-0.123, 0.587, 0.425]",48h  T2 24h-window mean  level,17160,123
30.95742271252554,20.843629828022912,0.25050369892170293,-0.09527590068305629,"[-0.369, 0.68, 0.441]",48h  T2 24h-window mean  delta,17160,123
39.306852905933,26.26737017682592,0.1940263409228129,-0.5006028423056846,"[-0.061, 0.511, 0.132]",48h  T3 24h-window max  level,17160,123
39.112076274992575,25.75950783718064,0.20159597693039757,-0.5006028423056846,"[-0.174, 0.554, 0.225]",48h  T3 24h-window max  delta,17160,123
36.15749805921989,26.394900558679964,0.22999103115099895,-0.11084906922789695,"[-0.218, 0.561, 0.346]",72h  T1 point-in-time  level,17136,123
35.52019983285444,25.22526575671668,0.24819851736335033,-0.11084906922789695,"[-0.268, 0.619, 0.394]",72h  T1 point-in-time  delta,17136,123
35.124229703932265,26.72334295046763,0.05466001280646415,-0.3229780400206392,"[-0.601, 0.547, 0.218]",72h  T2 24h-window mean  level,17136,123
33.914161461480255,24.285849986190186,0.0931763942209135,-0.3229780400206392,"[-0.692, 0.635, 0.336]",72h  T2 24h-window mean  delta,17136,123
41.9490783232429,28.513279155328537,0.08513229957221724,-0.6997494601650093,"[-0.262, 0.435, 0.083]",72h  T3 24h-window max  level,17136,123
42.042422931907375,28.851366626208943,0.0718717328535939,-0.6997494601650093,"[-0.536, 0.542, 0.209]",72h  T3 24h-window max  delta,17136,123
